"&hyphen;"			"-",
"&upsilon;"			        "&#x03C5;",   
"&Upsilon;"			        "&#x03A5;",   
"&Uring;"			        "&#x0016E;",
"&uring;"			        "&#x0016F;",
"&Utilde;"		            "&#x00168;",
"&utilde;"		            "&#x00169;",
"&uuml;"			        "&#x000FC;",
"&Uuml;"			        "&#x000DC;",
"&varr;"			        "&#x02195;",
"&vcy;"			            "&#x00432;",
"&Vcy;"			            "&#x00412;",
"&verbar;"		            "&#x0007C;",
"&wcirc;"			        "&#x00175;",
"&Wcirc;"			        "&#x00174;",
"&xdtri;"			        "&#x025BD;",
"&Xi;"			            "&#x0039E;",
"&xi;"			            "&#x003BE;",
"&xutri;"			        "&#x025B3;",
"&yacute;"		            "&#x000FD;",
"&Yacute;"		            "&#x000DD;",
"&yacy;"			        "&#x0044F;",
"&YAcy;"			        "&#x0042F;",
"&ycirc;"			        "&#x00177;",
"&Ycirc;"			        "&#x00176;",
"&Ycy;"			            "&#x0042B;",
"&ycy;"			            "&#x0044B;",
"&yen;"			            "&#x000A5;",
"&yicy;"			        "&#x00457;",
"&YIcy;"			        "&#x00407;",
"&yucy;"			        "&#x0044E;",
"&YUcy;"			        "&#x0042E;",
"&yuml;"			        "&#x000FF;",
"&Yuml;"			        "&#x00178;",
"&zacute;"		            "&#x0017A;",
"&Zacute;"		            "&#x00179;",
"&zcaron;"		            "&#x0017E;",
"&Zcaron;"		            "&#x0017D;",
"&zcy;"			            "&#x00437;",
"&Zcy;"			            "&#x00417;",
"&Zdot;"			        "&#x0017B;",
"&zdot;"			        "&#x0017C;",
"&zeta;"			        "&#x003B6;",
"&Zgr;"			            "&#00918;",
"&ZHcy;"			        "&#x00416;",
"&zhcy;"			        "&#x00436;",
"&acd;"				"&#x0223F;",
"&acE;"				"&#x029DB;",
"&af;"				"&#x02061;",
"&afr;"				"&#x1D51E;",
"&Afr;"				"&#x1D504;",
"&aleph;"				"&#x02135;",
"&amalg;"				"&#x02A3F;",
"&And;"				"&#x02A53;",
"&andand;"				"&#x02A55;",
"&andd;"				"&#x02A5C;",
"&andslope;"				"&#x02A58;",
"&andv;"				"&#x02A5A;",
"&ange;"				"&#x029A4;",
"&angmsd;"				"&#x02221;",
